Store,Date,Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday
1,2010-02-05,1643690.9,42.31,2.572,211.0963582,8.106,False
1,2010-02-12,1641957.4399999997,38.51,2.548,211.24216980000003,8.106,True
1,2010-02-19,1611968.17,39.93,2.5140000000000002,211.2891429,8.106,False
1,2010-02-26,1409727.5900000003,46.63,2.5610000000000004,211.3196429,8.106,False
1,2010-03-05,1554806.68,46.5,2.625,211.3501429,8.106,False
1,2010-03-12,1439541.5900000005,57.79,2.667,211.3806429,8.106,False
1,2010-03-19,1472515.7899999998,54.58,2.72,211.21563500000002,8.106,False
1,2010-03-26,1404429.9200000004,51.45,2.7319999999999998,211.0180424,8.106,False
1,2010-04-02,1594968.2799999998,62.27,2.719,210.82044989999997,7.808,False
1,2010-04-09,1545418.5300000005,65.86,2.77,210.62285740000002,7.808,False
1,2010-04-16,1466058.28,66.32,2.8080000000000003,210.4887,7.808,False
1,2010-04-23,1391256.12,64.84,2.795,210.4391228,7.808,False
1,2010-04-30,1425100.7100000002,67.41,2.78,210.3895456,7.808,False
1,2010-05-07,1603955.1200000003,72.55,2.835,210.33996839999998,7.808,False
1,2010-05-14,1494251.5000000002,74.78,2.8539999999999996,210.3374261,7.808,False
1,2010-05-21,1399662.0700000003,76.44,2.826,210.6170934,7.808,False
1,2010-05-28,1432069.9500000002,80.44,2.759,210.89676060000002,7.808,False
1,2010-06-04,1615524.71,80.69,2.705,211.1764278,7.808,False
1,2010-06-11,1542561.09,80.43,2.668,211.4560951,7.808,False
1,2010-06-18,1503284.0599999998,84.11,2.637,211.4537719,7.808,False
1,2010-06-25,1422711.5999999996,84.34,2.653,211.33865260000002,7.808,False
1,2010-07-02,1492418.1399999997,80.91,2.6689999999999996,211.2235333,7.787000000000001,False
1,2010-07-09,1546074.1799999997,80.48,2.642,211.108414,7.787000000000001,False
1,2010-07-16,1448938.9200000002,83.15,2.623,211.10038540000002,7.787000000000001,False
1,2010-07-23,1385065.2000000004,83.36,2.608,211.2351443,7.787000000000001,False
1,2010-07-30,1371986.6,81.84,2.64,211.36990319999995,7.787000000000001,False
1,2010-08-06,1605491.7799999998,87.16,2.627,211.5046621,7.787000000000001,False
1,2010-08-13,1508237.7600000005,87.0,2.6919999999999997,211.63942110000002,7.787000000000001,False
1,2010-08-20,1513080.49,86.65,2.6639999999999997,211.60336329999998,7.787000000000001,False
1,2010-08-27,1449142.9200000004,85.22,2.6189999999999998,211.5673056,7.787000000000001,False
1,2010-09-03,1540163.53,81.21,2.577,211.53124790000004,7.787000000000001,False
1,2010-09-10,1507460.6900000002,78.69,2.565,211.49519019999997,7.787000000000001,True
