,Store,Date,Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday,Type,Size
0,1,2010-02-05,1643690.9,42.31,2.572,211.0963582,8.106,False,A,151315
1,1,2010-02-12,1641957.4399999997,38.51,2.548,211.24216980000003,8.106,True,A,151315
2,1,2010-02-19,1611968.17,39.93,2.514,211.2891429,8.106,False,A,151315
3,1,2010-02-26,1409727.5900000003,46.63,2.5610000000000004,211.3196429,8.106,False,A,151315
4,1,2010-03-05,1554806.68,46.5,2.625,211.3501429,8.106,False,A,151315
5,1,2010-03-12,1439541.5900000003,57.79,2.667,211.3806429,8.106,False,A,151315
6,1,2010-03-19,1472515.7899999996,54.58,2.72,211.215635,8.106,False,A,151315
7,1,2010-03-26,1404429.9200000004,51.45,2.732,211.0180424,8.106,False,A,151315
8,1,2010-04-02,1594968.2799999998,62.27,2.719,210.8204499,7.808,False,A,151315
9,1,2010-04-09,1545418.5300000003,65.86,2.77,210.6228574,7.808,False,A,151315
10,1,2010-04-16,1466058.28,66.32,2.8080000000000003,210.4887,7.808,False,A,151315
11,1,2010-04-23,1391256.12,64.84,2.795,210.4391228,7.808,False,A,151315
12,1,2010-04-30,1425100.7100000004,67.41,2.78,210.3895456,7.808,False,A,151315
13,1,2010-05-07,1603955.1200000003,72.55,2.835,210.3399684,7.808,False,A,151315
14,1,2010-05-14,1494251.5000000002,74.78,2.854,210.3374261,7.808,False,A,151315
15,1,2010-05-21,1399662.0700000005,76.44,2.826,210.6170934,7.808,False,A,151315
16,1,2010-05-28,1432069.9500000004,80.44,2.759,210.8967606,7.808,False,A,151315
17,1,2010-06-04,1615524.71,80.69,2.705,211.1764278,7.808,False,A,151315
18,1,2010-06-11,1542561.09,80.43,2.668,211.4560951,7.808,False,A,151315
19,1,2010-06-18,1503284.0599999996,84.11,2.637,211.4537719,7.808,False,A,151315
20,1,2010-06-25,1422711.5999999996,84.34,2.653,211.3386526,7.808,False,A,151315
21,1,2010-07-02,1492418.1399999997,80.91,2.669,211.2235333,7.787000000000001,False,A,151315
22,1,2010-07-09,1546074.1799999997,80.48,2.642,211.108414,7.787000000000001,False,A,151315
23,1,2010-07-16,1448938.9200000004,83.15,2.623,211.1003854,7.787000000000001,False,A,151315
24,1,2010-07-23,1385065.2000000004,83.36,2.608,211.2351443,7.787000000000001,False,A,151315
25,1,2010-07-30,1371986.6,81.84,2.64,211.36990319999995,7.787000000000001,False,A,151315
26,1,2010-08-06,1605491.7799999998,87.16,2.627,211.5046621,7.787000000000001,False,A,151315
27,1,2010-08-13,1508237.7600000002,87.0,2.692,211.6394211,7.787000000000001,False,A,151315
